step,normalized_loss,lower_band,upper_band
0,1.006516,0.969516,1.043516
25,1.004517,0.967651,1.041384
50,0.978934,0.942200,1.015669
75,0.948884,0.912281,0.985488
100,0.960586,0.924113,0.997059
125,0.971868,0.935525,1.008212
150,0.959684,0.923469,0.995899
175,0.951468,0.915380,0.987555
200,0.954961,0.919001,0.990922
225,0.954298,0.918464,0.990132
250,0.936222,0.900513,0.971931
275,0.946123,0.910539,0.981707
300,0.931268,0.895808,0.966727
325,0.909452,0.874116,0.944788
350,0.898330,0.863117,0.933542
375,0.894716,0.859626,0.929807
400,0.894905,0.859937,0.929873
425,0.875460,0.840614,0.910306
450,0.864950,0.830225,0.899675
475,0.865227,0.830623,0.899830
500,0.846010,0.811527,0.880493
525,0.840054,0.805692,0.874417
550,0.834866,0.800624,0.869108
575,0.823712,0.789589,0.857834
600,0.810186,0.776183,0.844188
625,0.822027,0.788144,0.855910
650,0.803890,0.770126,0.837653
675,0.796402,0.762759,0.830046
700,0.787336,0.753812,0.820861
725,0.790212,0.756807,0.823617
750,0.816897,0.783611,0.850183
775,0.797956,0.764789,0.831122
800,0.802220,0.769173,0.835267
825,0.795210,0.762282,0.828137
850,0.776680,0.743872,0.809487
875,0.754727,0.722039,0.787415
900,0.743591,0.711023,0.776159
925,0.728206,0.695758,0.760655
950,0.723441,0.691113,0.755769
975,0.768701,0.736493,0.800908
1000,0.762037,0.729950,0.794124
1025,0.763518,0.731552,0.795484
1050,0.780186,0.748340,0.812031
1075,0.771373,0.739649,0.803097
1100,0.748437,0.716834,0.780039
1125,0.727163,0.695682,0.758643
1150,0.722124,0.690765,0.753482
1175,0.712319,0.681082,0.743555
1200,0.720581,0.689467,0.751695
1225,0.729862,0.698871,0.760853
1250,0.713698,0.682831,0.744566
1275,0.716872,0.686128,0.747616
1300,0.722743,0.692123,0.753363
1325,0.690911,0.660415,0.721407
1350,0.675924,0.645553,0.706296
1375,0.670822,0.640575,0.701068
1400,0.664380,0.634258,0.694501
1425,0.659986,0.629989,0.689982
1450,0.671607,0.641736,0.701477
1475,0.666935,0.637190,0.696679
1500,0.660184,0.630565,0.689802
1525,0.641948,0.612456,0.671440
1550,0.648015,0.618650,0.677380
1575,0.637443,0.608205,0.666681
1600,0.632538,0.603427,0.661649
1625,0.642156,0.613173,0.671140
1650,0.658983,0.630127,0.687839
1675,0.667043,0.638315,0.695771
1700,0.646118,0.617518,0.674718
1725,0.640984,0.612512,0.669456
1750,0.638385,0.610041,0.666728
1775,0.639217,0.611002,0.667432
1800,0.628836,0.600749,0.656923
1825,0.632101,0.604143,0.660059
1850,0.617242,0.589413,0.645071
1875,0.613306,0.585605,0.641006
1900,0.621665,0.594094,0.649237
1925,0.629206,0.601763,0.656649
1950,0.639574,0.612259,0.666888
1975,0.631174,0.603988,0.658360
2000,0.627469,0.600412,0.654526
2025,0.614407,0.587479,0.641336
2050,0.597227,0.570426,0.624027
2075,0.597816,0.571143,0.624488
2100,0.591855,0.565311,0.618400
2125,0.590440,0.564023,0.616856
2150,0.606372,0.580083,0.632661
2175,0.631991,0.605829,0.658153
2200,0.624194,0.598159,0.650229
2225,0.614249,0.588341,0.640158
2250,0.614194,0.588412,0.639976
2275,0.591754,0.566097,0.617411
2300,0.598541,0.573010,0.624072
2325,0.591552,0.566145,0.616958
2350,0.582244,0.556962,0.607526
2375,0.604248,0.579090,0.629406
2400,0.597734,0.572699,0.622769
2425,0.583842,0.558930,0.608755
2450,0.567546,0.542755,0.592336
2475,0.578367,0.553698,0.603036
2500,0.588835,0.564287,0.613384
2525,0.583679,0.559251,0.608108
2550,0.588941,0.564632,0.613250
2575,0.583611,0.559420,0.607801
2600,0.586950,0.562877,0.611023
2625,0.583162,0.559205,0.607118
2650,0.555588,0.531748,0.579429
2675,0.544783,0.521058,0.568508
2700,0.555653,0.532042,0.579265
2725,0.562008,0.538510,0.585507
2750,0.559009,0.535623,0.582395
2775,0.557516,0.534241,0.580791
2800,0.561337,0.538172,0.584503
2825,0.572573,0.549517,0.595629
2850,0.547040,0.524092,0.569989
