step,normalized_loss,lower_band,upper_band,trend
0,1.009206,0.970206,1.048206,1.000000
25,0.999356,0.960478,1.038233,0.996021
50,1.005555,0.966799,1.044311,0.992069
75,0.984844,0.946209,1.023479,0.988145
100,0.959593,0.921078,0.998108,0.984248
125,0.987903,0.949507,1.026299,0.980377
150,0.974822,0.936545,1.013099,0.976534
175,0.998935,0.960775,1.037094,0.972717
200,0.980684,0.942642,1.018726,0.968927
225,0.996070,0.958145,1.033995,0.965163
250,0.959082,0.921273,0.996891,0.961424
275,0.952570,0.914877,0.990263,0.957712
300,0.964701,0.927123,1.002279,0.954026
325,0.935152,0.897689,0.972615,0.950364
350,0.915131,0.877782,0.952480,0.946729
375,0.904966,0.867731,0.942201,0.943118
400,0.922764,0.885643,0.959886,0.939533
425,0.923337,0.886328,0.960345,0.935972
450,0.924147,0.887252,0.961043,0.932436
475,0.923605,0.886822,0.960388,0.928924
500,0.913013,0.876342,0.949684,0.925437
525,0.916372,0.879813,0.952931,0.921974
550,0.926347,0.889899,0.962794,0.918534
575,0.916247,0.879911,0.952583,0.915119
600,0.911446,0.875221,0.947670,0.911727
625,0.892906,0.856792,0.929019,0.908359
650,0.875852,0.839849,0.911854,0.905014
675,0.867657,0.831765,0.903549,0.901692
700,0.876076,0.840295,0.911857,0.898393
725,0.889825,0.854155,0.925495,0.895117
750,0.888552,0.852993,0.924112,0.891863
775,0.903732,0.868283,0.939181,0.888633
800,0.898565,0.863227,0.933904,0.885424
825,0.877217,0.841989,0.912445,0.882238
850,0.868709,0.833592,0.903826,0.879073
875,0.876821,0.841814,0.911827,0.875931
900,0.876537,0.841641,0.911433,0.872810
925,0.876686,0.841901,0.911472,0.869711
950,0.891072,0.856397,0.925746,0.866634
975,0.865575,0.831011,0.900138,0.863578
1000,0.864929,0.830476,0.899381,0.860542
1025,0.841453,0.807112,0.875794,0.857528
1050,0.843972,0.809742,0.878202,0.854535
1075,0.828284,0.794165,0.862402,0.851563
1100,0.801664,0.767657,0.835671,0.848611
1125,0.818407,0.784512,0.852302,0.845679
